187.151.12.68 - - [13/Jun/2014:00:01:15 -0400] "GET /static/images/bm3.png HTTP/1.1" 404 2424 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:01:16 -0400] "GET /static/images/avatar.jpg HTTP/1.1" 404 2433 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:01:16 -0400] "GET /static/images/bm.ico HTTP/1.1" 404 2420 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:01:38 -0400] "GET /static/css/normalize.css HTTP/1.1" 404 2451 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:01:38 -0400] "GET /favicon.ico HTTP/1.1" 404 2411 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:01:38 -0400] "GET /favicon.ico HTTP/1.1" 404 2411 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:04 -0400] "GET / HTTP/1.1" 200 1752 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:05 -0400] "GET / HTTP/1.1" 200 1752 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:05 -0400] "GET /static/css/style.css HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:06 -0400] "GET /static/css/style.css HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:07 -0400] "GET /static/js/f.js HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:07 -0400] "GET /static/js/f.js HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:07 -0400] "GET /static/js/jquery-2.1.0.min.js HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:06 -0400] "GET /static/js/jquery-2.1.0.min.js HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:06 -0400] "GET /static/css/normalize.css HTTP/1.1" 500 50684 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:09 -0400] "GET /var/www/djporta/media/proyectos/dalton_3.jpg HTTP/1.1" 404 2764 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:05 -0400] "GET /static/css/normalize.css HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:10 -0400] "GET /var/www/djporta/media/proyectos/dalton_3.jpg HTTP/1.1" 404 2763 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:09 -0400] "GET /static/images/bm3.png HTTP/1.1" 500 60243 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:09 -0400] "GET /static/images/avatar.jpg HTTP/1.1" 500 60323 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:09 -0400] "GET /static/images/bm3.png HTTP/1.1" 500 60706 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:09 -0400] "GET /static/images/avatar.jpg HTTP/1.1" 500 60778 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:10 -0400] "GET /static/images/bm.ico HTTP/1.1" 500 59917 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:11 -0400] "GET /static/images/bm.ico HTTP/1.1" 500 59917 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:08:12 -0400] "GET /static/images/bm.ico HTTP/1.1" 500 59917 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:12:56 -0400] "GET / HTTP/1.1" 200 1752 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:12:57 -0400] "GET /static/js/f.js HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:12:58 -0400] "GET /var/www/djporta/media/proyectos/dalton_3.jpg HTTP/1.1" 404 2764 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:12:57 -0400] "GET /static/css/style.css HTTP/1.1" 500 33404 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
187.151.12.68 - - [13/Jun/2014:00:12:57 -0400] "GET /static/images/avatar.jpg HTTP/1.1" 500 60240 "http://jualjiman.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
